time(ms),ax,ay,az,gx,gy,gz,temp
16964,-0.0273437500,0.1489257813,0.8593750000,17.6793899536,11.4809160233,9.0763359070,26.3652935028
17187,-0.0893554688,0.1176757813,0.7998046875,-9.0305347443,-22.2137413025,7.0992364883,26.4123535156
17413,0.0092773438,0.0312500000,0.9238281250,-15.3206110001,-21.3206100464,-3.6488549709,26.3182353973
17636,0.0708007813,0.0859375000,1.1015625000,-8.2366409302,-13.7404584885,-6.3358778954,26.3652935028
17857,0.0312500000,0.0185546875,1.0830078125,-4.9923663139,0.5496183038,-4.4732823372,26.3652935028
18077,0.0581054687,-0.0034179687,1.2309570313,6.5801525116,2.5648853779,5.7786259651,26.3182353973
18298,0.0112304688,0.0581054687,0.9702148438,19.7099227905,25.5954189301,6.5725193024,26.3182353973
18522,0.0112304688,0.1181640625,0.9287109375,23.9083976746,13.7938928604,11.6870231628,26.3182353973
18744,-0.0263671875,0.2045898438,0.7265625000,-1.9618320465,-2.0076336861,3.7404580116,26.3652935028
18969,0.0024414063,0.0742187500,0.9189453125,-10.5267171860,-35.4580154419,-10.9236640930,26.2711772919
19192,0.0419921875,0.0312500000,1.1215820313,-21.3511447906,-8.8778629303,-1.3587785959,26.3182353973
19412,0.0415039062,0.0131835938,1.0512695313,-7.9541983604,2.0229008198,0.6793892980,26.2241172791
19634,0.0551757812,-0.0170898438,1.1308593750,3.6106870174,4.1984734535,5.6412215233,26.4123535156
19857,0.0341796875,-0.0063476562,1.0546875000,20.1603050232,16.1221370697,-0.2519083917,26.4123535156
20079,-0.0415039062,0.0595703125,0.8725585938,31.1755733490,16.0152664185,4.6946563721,26.2711772919
20300,-0.0395507813,0.1992187500,0.7988281250,10.8473281860,6.3664121628,7.2213740349,26.3182353973
20525,-0.0346679687,0.1665039063,0.8500976563,-30.1145038605,-13.0000000000,-3.4351146221,26.2241172791
20750,0.0131835938,0.0810546875,1.1025390625,-42.0305328369,-3.9541983604,-8.2671756744,26.3652935028
20974,-0.0424804687,-0.0185546875,1.0717773438,-10.3206110001,3.2366411686,-5.1068701744,26.2711772919
21197,-0.2001953125,-0.1132812500,1.0131835938,-0.4351145029,0.5190839767,15.8778629303,26.3182353973
21420,0.0581054687,-0.0415039062,1.0102539063,9.8473281860,-17.5267181396,22.6717548370,26.3652935028
